,regio,count_2014,count_2015,uitgaven_ov,aantal_verdachten,toename_bevolking
246,Purmerend,79593.5,79750.0,2693000.0,850.0,0.0019662409618875915
247,Putten,24124.5,24446.5,488000.0,130.0,0.01334742688967647
248,Raalte,36561.0,36651.5,651000.0,130.0,0.0024753152266075874
249,Reimerswaal,21992.5,22161.5,116000.0,170.0,0.007684437876548824
250,Renkum,31494.0,31331.0,647000.0,260.0,-0.005175589001079571
251,Renswoude,4950.0,5013.5,19000.0,30.0,0.012828282828282828
252,Reusel-De Mierden,12743.5,12792.5,211000.0,80.0,0.0038450975006866246
253,Rheden,43632.5,43724.5,872000.0,330.0,0.0021085200252105654
254,Rhenen,19212.0,19354.0,502000.0,150.0,0.0073912138246929006
255,Ridderkerk,45201.0,45123.0,544000.0,340.0,-0.001725625539257981
256,Rijnwaarden,10914.5,10889.0,178000.0,50.0,-0.0023363415639745294
257,Rijssen-Holten,37745.5,37852.5,1066000.0,130.0,0.0028347750062921407
258,Roerdalen,20765.5,20692.5,1108000.0,130.0,-0.003515446293130433
259,Roermond,56967.0,57007.5,3738000.0,910.0,0.0007109379114224024
260,De Ronde Venen,42615.0,42582.0,660000.0,250.0,-0.0007743752199929603
261,Roosendaal,76950.5,76917.0,3413000.0,630.0,-0.0004353447995789501
262,Rotterdam,621004.5,626629.0,81464868.0,12710.0,0.009057100230352598
263,Rozendaal,1506.0,1503.5,42000.0,0.0,-0.0016600265604249668
264,Rucphen,22206.5,22254.5,439000.0,160.0,0.0021615292819669916
265,Schagen,46057.5,46148.0,806000.0,250.0,0.0019649351354285405
266,Scherpenzeel,9510.0,9525.5,122000.0,50.0,0.001629863301787592
267,Schiermonnikoog,934.0,922.5,100000.0,0.0,-0.012312633832976445
268,Schijndel,23451.5,23584.0,328000.0,190.0,0.005649958424834232
269,Schinnen,12946.5,12976.0,150000.0,80.0,0.0022786081180241765
270,Schouwen-Duiveland,33836.5,33778.0,2076000.0,280.0,-0.0017289022209743916
271,Simpelveld,10844.0,10792.5,322000.0,50.0,-0.004749170047952785
272,Sint Anthonis,11651.5,11603.0,284000.0,50.0,-0.004162554177573703
273,Sint-Michielsgestel,28258.0,28399.0,452000.0,190.0,0.004989737419491825
274,Sint-Oedenrode,17935.5,17916.5,278000.0,100.0,-0.001059351565331326
275,Sittard-Geleen,93707.5,93639.5,6725000.0,970.0,-0.0007256623002427767
276,Sliedrecht,24643.0,24863.0,705000.0,190.0,0.00892748447835085
277,Slochteren,15565.5,15640.5,214000.0,80.0,0.004818348270212971
278,Sluis,23783.5,23693.0,269000.0,190.0,-0.0038051590388294408
279,Smallingerland,55551.0,55537.0,1386000.0,420.0,-0.00025202066569458695
280,Soest,45473.5,45470.5,2434000.0,360.0,-6.597248947189022e-05
281,Someren,18692.5,18804.5,552000.0,90.0,0.005991707904239668
282,Son en Breugel,16289.5,16384.5,574000.0,80.0,0.005831977654317198
283,Stadskanaal,32706.5,32615.5,674000.0,300.0,-0.0027823215568770735
284,Staphorst,16394.0,16482.5,105000.0,70.0,0.005398316457240454
285,Stede Broec,21491.5,21495.5,82000.0,130.0,0.00018612009399064747
286,Steenbergen,23506.0,23557.5,761000.0,140.0,0.0021909299753254488
287,Steenwijkerland,43284.5,43276.0,941000.0,220.0,-0.00019637514583742448
288,Stichtse Vecht,63899.5,64002.0,1540000.0,470.0,0.001604081409087708
289,Strijen,8699.5,8741.0,248000.0,50.0,0.004770389102822002
290,Terneuzen,54643.0,54617.0,1766000.0,560.0,-0.0004758157495013085
291,Terschelling,4803.5,4848.5,420000.0,20.0,0.00936816904340585
292,Texel,13566.5,13577.5,427000.0,80.0,0.0008108207717539527
293,Teylingen,35690.5,35829.5,985000.0,260.0,0.0038945937994704473
294,Tholen,25424.0,25430.5,395000.0,140.0,0.0002556639395846444
295,Tiel,41682.5,41550.0,2031000.0,480.0,-0.003178792059017573
296,Tilburg,210959.0,212294.5,21521000.0,2390.0,0.006330614005565062
297,Tubbergen,21174.0,21131.0,508000.0,70.0,-0.002030792481345046
298,Tynaarlo,32531.5,32687.0,611000.0,200.0,0.004779982478520818
299,Tytsjerksteradiel,31965.0,32017.0,852000.0,140.0,0.0016267792898482715
300,Uden,41001.0,41168.0,2545000.0,370.0,0.00407307138850272
301,Uitgeest,13262.5,13325.5,46000.0,40.0,0.004750235626767201
302,Uithoorn,28574.5,28956.0,1212000.0,230.0,0.013351064760538243
303,Urk,19587.5,19846.0,167000.0,150.0,0.013197192086790044
304,Utrecht (gemeente),331170.0,336571.5,27815000.0,3810.0,0.016310354198749887
305,Utrechtse Heuvelrug,48067.0,48344.5,1194000.0,310.0,0.005773191586743504
306,Vaals,9689.5,9663.0,385000.0,50.0,-0.002734919242478972
307,Valkenburg aan de Geul,16646.5,16568.0,730000.0,110.0,-0.004715706004265161
308,Valkenswaard,30284.5,30248.0,1208000.0,270.0,-0.001205237002426984
309,Veendam,27743.5,27581.0,839000.0,260.0,-0.005857227819128805
310,Veenendaal,63346.0,63628.0,1499000.0,500.0,0.0044517412307012285
311,Veere,21897.0,21943.0,750000.0,100.0,0.0021007443942092524
312,Veghel,37609.0,37916.0,654000.0,290.0,0.008162939721875083
313,Veldhoven,44160.5,44241.5,1007000.0,320.0,0.0018342183625638297
314,Velsen,67193.0,67307.0,1944000.0,370.0,0.0016966053011474409
315,Venlo,100482.0,100453.5,5292000.0,1470.0,-0.00028363288947274136
316,Venray,43157.0,43246.5,1567000.0,440.0,0.002073823481706328
317,Vianen,19614.0,19572.5,588000.0,140.0,-0.0021158356276129294
318,Vlaardingen,71313.0,71726.5,3187000.0,990.0,0.005798381781722827
319,Vlagtwedde,16058.5,16317.0,213000.0,120.0,0.01609739390354018
320,Vlieland,1106.5,1093.0,66000.0,0.0,-0.012200632625395391
321,Vlissingen,44464.5,44468.0,1390855.0,570.0,7.8714480090859e-05
322,Voerendaal,12425.5,12439.5,118000.0,70.0,0.0011267152227274555
323,Voorschoten,25050.5,25180.5,408000.0,170.0,0.005189517175305882
324,Voorst,23840.0,23948.5,338000.0,120.0,0.004551174496644295
325,Vught,25745.5,25913.0,354000.0,270.0,0.006505991338292129
326,Waalre,16819.5,16948.5,176000.0,100.0,0.007669669134040846
327,Waalwijk,46605.5,46867.0,1739000.0,390.0,0.005610925749106865
328,Waddinxveen,25582.5,25864.5,366000.0,160.0,0.011023160363529757
329,Wageningen,37607.5,37811.5,450000.0,230.0,0.005424449910257262
330,Wassenaar,25703.0,25808.0,1296000.0,180.0,0.004085126249854102
331,Waterland,17138.5,17223.5,302000.0,100.0,0.004959593896782099
332,Weert,48817.5,49007.0,1702000.0,470.0,0.00388180468069852
333,Weesp,18260.0,18460.0,542401.0,160.0,0.01095290251916758
334,Werkendam,26419.5,26489.5,485000.0,150.0,0.0026495580915611573
335,West Maas en Waal,18494.5,18631.5,107000.0,110.0,0.007407607667144286
336,Westerveld,19009.0,19012.5,287000.0,110.0,0.0001841233100110474
337,Westervoort,15065.0,14996.5,334000.0,150.0,-0.004546963159641554
338,Westland,103771.5,104631.0,3793000.0,940.0,0.008282620950839103
339,Weststellingwerf,25489.5,25522.5,411000.0,140.0,0.0012946507385393985
340,Westvoorne,14023.5,14140.0,771000.0,140.0,0.00830748386636717
341,Wierden,23891.5,23913.0,362000.0,80.0,0.0008999016386581002
342,Wijchen,40964.5,40850.0,1339000.0,180.0,-0.0027951030770545227
343,Wijdemeren,23181.5,23225.5,462000.0,130.0,0.001898065267562496
344,Wijk bij Duurstede,23132.5,23303.0,359000.0,140.0,0.007370582513779315
345,Winsum,13812.0,13703.5,246000.0,60.0,-0.007855487981465393
346,Winterswijk,28929.0,28958.0,444000.0,210.0,0.001002454284627882
347,Woensdrecht,21632.5,21663.0,517000.0,130.0,0.001409915636195539
348,Woerden,50604.0,50896.0,587000.0,310.0,0.005770294838352699
349,De Wolden,23622.0,23691.5,112000.0,100.0,0.0029421725510117686
350,Wormerland,15758.5,15702.0,549000.0,110.0,-0.0035853666275343465
351,Woudenberg,12454.5,12518.5,212000.0,60.0,0.005138704885784255
352,Woudrichem,14406.5,14453.0,163000.0,70.0,0.0032277097143650437
353,Zaanstad,151008.0,151942.0,2575000.0,1440.0,0.006185102776011867
354,Zaltbommel,27270.0,27450.5,1184000.0,210.0,0.006618995232856619
355,Zederik,13686.5,13717.5,241000.0,60.0,0.0022650056625141564
356,Zeevang,6323.5,6273.5,180000.0,30.0,-0.007907013520993121
357,Zeewolde,21696.5,22003.5,438000.0,180.0,0.014149747655151753
358,Zeist,61445.5,61949.5,2170000.0,540.0,0.008202390736506335
359,Zevenaar,32274.0,32267.0,498000.0,200.0,-0.00021689285492966474
360,Zoetermeer,123793.0,124066.0,2788000.0,1560.0,0.002205294321972971
